Student ID,Student Name,Campus Location,Study Mode,Course Name,Application Date,Agent Name,Application Stage,Business Development Manager,Total Fee,Fee Paid,Intake Name,Date of Birth,Date Conditional Offer,Date Unconditional Offer,Date Enrolled,Email
S0001,Kelly Campbell,Berlin,Evening,MSc Data Science,4/14/2025,EduPath,Withdrawn,Emma Brown,23035,458,25-Sep,10/2/2002,,,,laneraymond@gmail.com
S0002,Robert Graham,Dublin,Evening,MSc Marketing,9/17/2024,EduPath,Enquiry,Maria Garcia,22799,168,25-May,12/1/2005,,,,david17@hotmail.com
S0003,John Ford,Dublin,Evening,BA Economics,11/21/2024,UniBridge,Enrolled,David Lee,11878,11687,25-May,12/18/1999,2/6/2025,2/17/2025,3/7/2025,walkerjoseph@snyder-mendez.com
S0004,James Stevens,Dublin,Evening,BBA,9/17/2024,Future Abroad,Enrolled,Maria Garcia,18805,11348,25-May,3/21/1998,3/5/2025,6/13/2025,6/15/2025,zrhodes@butler.biz
S0005,David Navarro,Berlin,Part-time,BSc Computer Science,10/2/2024,UniBridge,Conditional Offer,Robert Smith,9912,2494,25-May,5/8/1996,3/17/2025,,,georgesmith@howe.com
S0006,Tracy Davis,Berlin,Evening,MBA,1/14/2025,Bright Horizons,Enrolled,Emma Brown,21216,12876,25-Jan,1/29/1995,1/28/2025,3/4/2025,6/23/2025,harrislisa@murphy.com
S0007,Ann White,Dublin,Part-time,BSc Computer Science,1/27/2025,Global Edu,Unconditional Offer,Maria Garcia,20046,15367,25-Sep,9/19/1996,2/12/2025,4/3/2025,,patelkatelyn@gmail.com
S0008,Kimberly Hernandez,Madrid,Weekend,MBA,9/20/2024,Global Edu,Enquiry,Emma Brown,22891,288,25-Sep,10/31/1999,,,,hubbardronald@castro-curry.com
S0009,Matthew Hernandez,Berlin,Weekend,MSc Marketing,7/10/2024,EduPath,Conditional Offer,Emma Brown,23697,4134,25-May,10/5/1997,4/6/2025,,,anthony92@moore.biz
S0010,Joseph Lowery,Berlin,Full-time,MBA,4/10/2025,EduPath,Enrolled,Emma Brown,9672,5272,25-May,1/4/2002,6/17/2025,6/30/2025,6/30/2025,joshuasnyder@rodriguez.org
S0011,Eric Craig,Madrid,Evening,BBA,6/2/2025,EduPath,Enquiry,David Lee,9810,228,25-May,5/25/2002,,,,scarter@yahoo.com
S0012,Richard Black,Dublin,Evening,MBA,9/17/2024,EduPath,Withdrawn,Emma Brown,24398,261,25-Sep,2/7/1990,,,,sarah57@wilson.com
S0013,Luke Frank,London,Part-time,MSc Data Science,9/17/2024,Future Abroad,Enquiry,Emma Brown,19187,454,25-May,11/1/2004,,,,samuelbutler@thomas.com
S0014,David Sampson,Madrid,Part-time,BBA,8/12/2024,EduPath,Enquiry,Maria Garcia,14160,464,25-May,4/3/1992,,,,reynoldslisa@velez.com
S0015,Nathan Turner,Paris,Weekend,BSc Computer Science,10/10/2024,EduPath,Conditional Offer,David Lee,11195,2195,25-Sep,4/15/1996,6/1/2025,,,blakepatricia@day.com
S0016,Ashley Bauer,Dublin,Weekend,MSc Marketing,12/2/2024,UniBridge,Withdrawn,Maria Garcia,15496,62,25-Jan,11/22/2000,,,,alyssagardner@garza.net
S0017,Olivia Torres,London,Evening,MBA,10/9/2024,Bright Horizons,Enquiry,Robert Smith,23725,243,25-Jan,8/2/1990,,,,nicholas34@johnson.org
S0018,Wesley Vasquez,Berlin,Evening,MBA,3/6/2025,UniBridge,Unconditional Offer,Emma Brown,10566,8738,25-Jan,9/25/2003,6/8/2025,6/22/2025,,carl49@obrien.net
S0019,Karen Collins,London,Weekend,BA Economics,2/7/2025,Bright Horizons,Conditional Offer,David Lee,22544,732,25-May,6/12/2005,3/4/2025,,,stephaniehernandez@yahoo.com
S0020,Steven Shea,Paris,Evening,MBA,2/23/2025,EduPath,Conditional Offer,Alice Johnson,15878,1722,25-Sep,3/12/2007,4/29/2025,,,carpenterjames@hotmail.com
S0021,Juan Lopez,Dublin,Weekend,BSc Computer Science,7/8/2024,Bright Horizons,Enrolled,Alice Johnson,16018,12157,25-May,4/16/1996,6/3/2025,6/8/2025,6/29/2025,kwilcox@hotmail.com
S0022,Kelly Johnson,Madrid,Full-time,MSc Data Science,10/29/2024,EduPath,Enrolled,Emma Brown,11382,6323,25-Sep,9/9/2006,1/15/2025,6/23/2025,7/1/2025,marshjoshua@mason-harrison.com
S0023,Yolanda Warren,Paris,Full-time,BBA,7/11/2024,Bright Horizons,Conditional Offer,Maria Garcia,15967,3255,25-May,6/17/2005,11/16/2024,,,youngjennifer@stewart.com
S0024,Joshua Buckley,Paris,Weekend,MBA,2/8/2025,Global Edu,Unconditional Offer,Robert Smith,18900,17685,25-Jan,7/19/2002,4/1/2025,6/8/2025,,grodriguez@murray.org
S0025,Margaret Bolton,Madrid,Weekend,BBA,3/28/2025,EduPath,Enquiry,Emma Brown,13599,410,25-May,10/9/2006,,,,morankayla@yahoo.com
S0026,Brittany York,Dublin,Full-time,BA Economics,7/3/2024,Bright Horizons,Conditional Offer,Maria Garcia,19622,3794,25-May,10/30/2001,2/18/2025,,,brookskristin@hotmail.com
S0027,Elizabeth Montoya,London,Weekend,MBA,3/1/2025,UniBridge,Withdrawn,Robert Smith,9151,138,25-Sep,3/21/2003,,,,gavinschroeder@jones.com
S0028,Daniel Schultz,Dublin,Evening,BSc Computer Science,8/14/2024,UniBridge,Enrolled,Alice Johnson,18423,11187,25-Sep,10/14/1994,6/6/2025,6/27/2025,7/1/2025,yvette59@price.biz
S0029,Nicole Lewis,Dublin,Evening,MSc Marketing,9/13/2024,Global Edu,Enquiry,Alice Johnson,20982,262,25-Jan,3/9/1999,,,,beverlyyoder@brown.com
S0030,Antonio Lowe,Paris,Full-time,BBA,10/20/2024,Bright Horizons,Unconditional Offer,Emma Brown,17195,8866,25-May,4/11/1994,2/4/2025,4/4/2025,,gmiller@gmail.com
S0031,James Brown,London,Full-time,MSc Data Science,11/1/2024,EduPath,Conditional Offer,David Lee,10444,2476,25-May,8/10/1990,4/18/2025,,,stephen88@thompson.com
S0032,Jeremy Crosby,London,Evening,BSc Computer Science,4/4/2025,Bright Horizons,Enrolled,Alice Johnson,14488,14403,25-Jan,1/6/2003,4/14/2025,5/8/2025,6/26/2025,bradleyhart@gmail.com
S0033,Yolanda Gregory,Madrid,Part-time,MSc Marketing,6/16/2025,UniBridge,Enquiry,David Lee,12759,199,25-Sep,6/5/2002,,,,jonesjames@hotmail.com
S0034,Lisa Haynes,Berlin,Weekend,BBA,4/12/2025,Future Abroad,Enrolled,David Lee,20526,16337,25-Sep,10/6/1996,4/19/2025,5/19/2025,6/26/2025,beckerkatelyn@mclaughlin.biz
S0035,Fernando Campbell,London,Weekend,BA Economics,2/5/2025,Bright Horizons,Enrolled,Alice Johnson,14707,9304,25-Sep,9/8/1993,3/28/2025,6/22/2025,6/28/2025,tgray@jones-mitchell.org
S0036,Emily Duffy,Dublin,Full-time,MSc Data Science,9/7/2024,Bright Horizons,Enrolled,Emma Brown,23027,15469,25-May,10/9/1989,3/6/2025,4/24/2025,5/2/2025,dixontracy@hicks.biz
S0037,Sheryl Contreras,Madrid,Full-time,MBA,12/29/2024,Global Edu,Enquiry,Maria Garcia,13883,455,25-May,1/1/1998,,,,hernandezeric@wyatt.com
S0038,Leslie Hicks,Madrid,Weekend,BBA,7/7/2024,EduPath,Conditional Offer,Emma Brown,13925,1824,25-Sep,11/14/2004,11/3/2024,,,dakotasmith@baker.net
S0039,Natasha Stephenson,Madrid,Full-time,MSc Data Science,3/21/2025,Bright Horizons,Unconditional Offer,Maria Garcia,20148,19793,25-Sep,11/3/2006,5/21/2025,5/25/2025,,shane10@morris-york.com
S0040,John Mann,Berlin,Weekend,MBA,5/15/2025,Future Abroad,Enrolled,Emma Brown,18664,11789,25-May,6/14/2007,6/21/2025,6/25/2025,7/1/2025,gabriel10@gmail.com
S0041,Lauren Larsen,London,Weekend,MBA,9/16/2024,UniBridge,Conditional Offer,Robert Smith,17106,885,25-May,6/3/2006,1/1/2025,,,gscott@young.com
S0042,Michael Collins,Dublin,Part-time,BA Economics,10/14/2024,EduPath,Enrolled,Emma Brown,9766,4998,25-May,7/29/2003,5/21/2025,5/21/2025,6/13/2025,dsanchez@hotmail.com
S0043,Jeremy Schmidt,London,Full-time,MSc Marketing,12/25/2024,Global Edu,Conditional Offer,David Lee,18401,5182,25-Sep,5/16/1992,3/9/2025,,,xwilliams@hotmail.com
S0044,Samantha Carter,London,Part-time,MSc Data Science,7/18/2024,UniBridge,Enquiry,Maria Garcia,22314,265,25-Sep,10/21/1995,,,,lorihill@yahoo.com
S0045,Emily West,London,Full-time,MBA,11/9/2024,UniBridge,Enquiry,David Lee,20634,58,25-Sep,10/9/2001,,,,mccarthytiffany@banks-griffin.org
S0046,Marc Morrison,Paris,Part-time,BSc Computer Science,9/19/2024,Global Edu,Withdrawn,David Lee,18699,103,25-May,7/26/1992,,,,sorr@serrano.com
S0047,Dominique Reed,Madrid,Full-time,MSc Marketing,3/24/2025,EduPath,Enquiry,Maria Garcia,18672,241,25-Jan,1/8/2000,,,,ayersmichael@hotmail.com
